Kód;Územná jednotka;bez ukončeného vzdelania – osoby vo veku 0-14 rokov (abs.);základné vzdelanie (abs.);stredné odborné (učňovské) vzdelanie (bez maturity) (abs.);úplné stredné vzdelanie (s maturitou) (abs.);vyššie odborné vzdelanie (abs.);vysokoškolské vzdelanie (abs.);bez školského vzdelania – osoby vo veku 15 rokov a viac (abs.);nezistené (abs.)
SK0224505951;Dolne Srnie;116;158;207;290;38;149;2;32
SK0224505994;Horka nad Vahom;89;112;194;201;43;116;4;15
SK0224506001;Horna Streda;146;175;354;402;84;183;1;39
SK0224506052;Hradok;98;121;172;167;37;109;0;33
SK0224506061;Hrachoviste;73;173;183;145;26;57;3;16
SK0224506109;Kalnica;106;145;298;282;59;115;2;17
SK0224506125;Kocovce;204;261;385;449;79;222;5;26
SK0224506184;Lubina;146;216;338;399;67;205;2;71
SK0224506206;Luka;82;98;178;187;35;114;0;7
SK0224506249;Modrova;35;114;117;117;22;63;2;6
SK0224506257;Modrovka;25;26;59;59;7;23;0;4
SK0224506265;Moravske Lieskove;217;436;696;701;103;320;9;57
SK0224506303;Nova Bosaca;90;159;336;250;58;115;1;18
SK0224506311;Nova Lehota;21;56;66;37;5;19;0;3
SK0224506338;Nove Mesto nad Vahom;2015;2553;3758;5524;1034;3903;33;824
SK0224506346;Ockov;60;81;156;117;18;33;0;7
SK0224506401;Pobedim;128;202;303;274;67;143;2;39
SK0224506427;Podolie;219;401;464;463;78;224;6;59
SK0224506435;Potvorice;74;108;180;202;34;73;2;8
SK0224506443;Povazany;120;165;320;346;59;195;3;28
SK0224506516;Stara Lehota;9;27;62;43;12;20;0;2
SK0224506524;Stara Tura;724;1029;2141;2692;454;1302;14;368
SK0224506583;Trencianske Bohuslavice;102;110;236;293;38;141;2;46
SK0224506630;Vadovce;63;144;192;173;39;73;1;28
SK0224506672;Visnove (Okres Nove Mesto nad Vahom);16;32;48;50;4;18;1;2
SK0224556424;Haluzice;9;9;14;17;6;19;0;1
SK0224556441;Zemianske Podhradie;75;125;197;217;36;74;25;15
SK0224556459;Nova Ves nad Vahom;56;91;114;167;21;89;2;8
SK0225505129;Male Krstenany;54;100;141;122;24;64;1;21
SK0225505170;Nadlice;58;100;185;156;23;58;1;13
SK0225505196;Nedanovce;52;135;178;139;36;65;0;7
SK0225505307;Ostratice;69;162;226;188;30;91;2;8
SK0225505315;Partizanske;1862;3562;4911;5499;1179;3206;36;1184
SK0225505323;Pazit;69;70;114;129;27;73;1;21
SK0225505463;Skacany;139;254;365;305;80;136;3;55
SK0225505706;Velke Krstenany;70;122;157;145;16;68;2;20
SK0225505722;Velke Uherce;180;343;438;598;114;270;4;43
SK0225505731;Velky Kliz;95;136;252;225;42;116;2;9
SK0225505803;Zabokreky nad Nitrou;197;322;483;446;78;190;7;15
SK0225542733;Bosany;401;664;1069;1058;278;443;4;146
SK0225542962;Hradiste (Okres Partizanske);99;202;298;228;38;113;2;23
SK0225543004;Chynorany;305;469;654;743;131;358;4;61
SK0225543047;Klatova Nova Ves;157;274;457;437;94;173;3;16
SK0225543055;Kolacno;103;154;255;227;33;109;0;4
SK0225556173;Livina;10;30;36;21;7;11;0;3
SK0225556190;Livinske Opatovce;37;51;87;59;11;33;0;5
SK0225556246;Krasno;45;89;134;133;40;65;0;20
SK0225556271;Turcianky;11;25;29;42;7;24;1;1
SK0225556416;Jeskova Ves;43;89;155;135;28;37;0;9
SK0225580449;Brodzany;81;126;218;238;51;144;1;19
SK0225580953;Male Uherce;89;113;194;229;42;118;0;8
SK0226512842;Povazska Bystrica;3907;4425;7353;10901;2211;8194;53;1597
SK0226512915;Brvniste;119;167;340;335;65;157;3;28
SK0226512966;Dolna Marikova;148;183;379;389;70;209;4;30
SK0226513008;Domaniza;198;181;346;494;95;249;2;36
SK0226513083;Horna Marikova;50;93;190;128;23;70;2;20
SK0226513172;Jasenica;142;168;255;320;53;214;2;37
SK0226513245;Kostolec;27;48;74;66;9;23;0;1
SK0226513466;Papradno;248;384;695;627;128;252;8;65
SK0226513474;Plevnik-Drienove;175;223;357;511;80;260;4;29
SK0226513563;Precin;199;203;352;392;79;238;2;45
SK0226513601;Pruzina;256;299;589;496;98;242;6;51
SK0226513687;Stupne;74;107;177;203;28;73;2;20
SK0226513741;Udica;251;322;555;601;128;319;2;69
SK0226513784;Vrchtepla;23;29;77;66;11;30;2;10
SK0226513822;Zaskalie;25;42;61;37;7;19;0;3
SK0226518913;Sverepec;166;214;326;330;72;213;4;31
SK0226546640;Dolny Lieskov;86;148;212;214;29;102;16;13
SK0226557480;Slopna;40;105;147;114;21;46;1;10
SK0226557510;Hatne;78;94;155;168;37;91;3;10
SK0226557552;Kliestina;34;52;99;104;9;42;0;6
SK0226557561;Celkova Lehota;15;24;45;43;9;12;0;0
SK0226557579;Male Lednice;45;69;146;143;30;42;1;4
SK0226557595;Sadocne;9;35;40;45;4;20;2;0
SK0226557609;Durdove;11;18;63;33;8;9;0;0
SK0226557633;Bodina;42;66;137;147;18;74;1;8
SK0226558222;Pocarova;10;27;39;50;10;12;1;0
SK0226580856;Horny Lieskov;57;57;95;123;26;72;0;4
SK0226580864;Podskalie;14;19;31;35;4;20;0;2
SK0227513881;Prievidza;3912;5778;9806;12355;2635;7753;100;2678
SK0227513903;Bojnice;463;492;746;1357;309;1402;10;199
SK0227513911;Bystricany;145;325;518;498;67;208;2;22
SK0227513920;Cigel;128;209;346;311;54;191;4;28
SK0227513938;Cavoj;37;79;172;112;21;55;1;11
SK0227513946;Cerenany;177;298;559;423;84;164;5;44
SK0227513954;Diviacka Nova Ves;175;250;466;501;90;281;2;25
SK0227513962;Diviaky nad Nitricou;174;242;498;497;68;250;1;31
SK0227513971;Dlzin;10;23;47;51;6;22;0;6
SK0227513989;Dolne Vestenice;249;378;742;668;113;288;10;47
SK0227513997;Handlova;1496;2973;4382;3647;831;1539;30;1301
SK0227514004;Horna Ves (Okres Prievidza);130;225;320;240;50;81;0;26
SK0227514012;Horne Vestenice;54;93;195;180;23;72;0;12
SK0227514021;Chrenovec-Brusno;127;222;392;357;86;183;2;22
SK0227514039;Chvojnica (Okres Prievidza);20;57;82;42;10;22;4;5
SK0227514063;Kamenec pod Vtacnikom;158;254;464;523;78;225;3;39
SK0227514071;Kanianka;362;525;958;1104;207;709;8;101
SK0227514080;Klacno;107;212;358;227;50;86;3;26
SK0227514098;Kocurany;56;76;157;136;19;65;2;12
SK0227514101;Kostolna Ves;60;60;135;154;25;61;1;14
SK0227514110;Kos;75;205;309;260;41;98;1;52
SK0227514128;Lazany;182;230;424;472;101;272;4;50
SK0227514136;Lehota pod Vtacnikom;376;609;1085;967;199;441;5;133
SK0227514144;Liestany;115;192;367;317;47;136;2;28
SK0227514179;Mala Causa;81;92;185;195;34;89;1;22
SK0227514187;Malinova;112;197;313;200;36;99;0;15
SK0227514209;Nedozery-Brezany;203;292;468;614;107;384;1;36
SK0227514217;Nevidzany (Okres Prievidza);33;51;82;87;14;33;0;4
SK0227514225;Nitrianske Pravno;288;550;828;863;164;367;13;90
SK0227514233;Nitrianske Rudno;198;241;482;573;84;300;5;42
SK0227514241;Nitrianske Sucany;130;160;285;334;49;214;1;15
SK0227514250;Nitrica;102;182;312;337;63;162;1;23
SK0227514268;Novaky;350;619;1013;1174;211;631;11;188
SK0227514284;Opatovce nad Nitrou;129;233;430;451;76;201;1;31
SK0227514292;Oslany;255;429;606;630;115;276;5;56
SK0227514306;Podhradie (Okres Prievidza);20;59;110;65;10;23;0;8
SK0227514314;Poluvsie;41;67;127;148;37;93;0;22
SK0227514322;Poruba;143;210;370;377;80;164;3;29
SK0227514331;Pravenec;116;190;332;348;75;198;3;43
SK0227514349;Radobica;61;95;146;147;22;68;0;13
SK0227514357;Raztocno;112;179;297;355;70;182;1;39
SK0227514365;Rudnianska Lehota;78;103;218;202;33;82;0;20
SK0227514373;Sebedrazie;173;275;495;442;91;202;3;34
SK0227514381;Sec;42;66;101;103;20;48;3;11
SK0227514390;Sutovce;47;66;126;113;30;55;0;7
SK0227514403;Temes;9;45;70;58;7;17;0;6
SK0227514411;Tuzina;105;224;375;335;57;92;9;11
SK0227514420;Valaska Bela;184;324;631;481;99;205;4;66
SK0227514438;Velka Causa;60;75;147;147;21;56;1;12
SK0227514454;Zemianske Kostolany;167;303;427;481;82;217;0;56
SK0227557706;Lipnik;64;75;119;171;30;96;1;7
SK0227557714;Jalovec (Okres Prievidza);46;93;140;163;23;94;2;5
SK0228500348;Zubak;67;171;279;198;21;76;1;16
SK0228512851;Belusa;720;747;1320;1731;389;1075;10;170
SK0228512940;Dohnany;217;308;468;510;89;236;3;28
SK0228512958;Dolna Breznica;140;167;304;225;58;86;3;21
SK0228513121;Horovce (Okres Puchov);84;127;206;243;52;111;1;16
SK0228513300;Lazy pod Makytou;118;180;330;321;65;144;4;47
SK0228513318;Lednica;94;187;278;228;44;97;2;10
SK0228513326;Lednicke Rovne;401;592;969;1141;238;499;11;113
SK0228513334;Luky;100;133;249;248;64;109;3;18
SK0228513342;Lysa pod Makytou;227;380;586;465;121;227;4;55
SK0228513377;Mestecko;49;72;133;147;41;77;1;3
SK0228513407;Mojtin;32;75;161;92;25;42;0;5
SK0228513610;Puchov;1814;2195;3229;4848;1106;3432;44;804
SK0228513776;Visolaje;140;132;272;234;66;100;0;27
SK0228513814;Zariecie;74;92;166;206;44;103;2;16
SK0228557439;Dolne Kockovce;128;145;289;346;68;206;5;18
SK0228557447;Nimnica;92;140;151;170;48;102;2;11
SK0228557471;Strezenice;151;126;207;327;60;161;0;14
SK0228557498;Vydrna;18;43;91;85;23;36;0;1
SK0228557501;Kvasov;58;146;207;164;30;37;1;10
SK0228557692;Horna Breznica;67;85;163;135;15;31;2;7
SK0229505820;Trencin;5374;5821;8614;14700;3130;14718;62;2321
SK0229505838;Adamovske Kochanovce;114;94;158;220;52;178;44;12
SK0229505854;Bobot;73;120;222;184;36;93;4;13
SK0229505935;Dolna Poruba;75;136;272;194;28;69;3;14
SK0229505943;Dolna Suca;373;451;896;806;147;334;4;48
SK0229505960;Drietoma;227;352;577;579;111;303;10;74
SK0229505978;Dubodiel;91;109;237;340;48;138;4;4
SK0229506010;Horna Suca;353;621;1045;708;158;315;3;98
SK0229506028;Hornany;50;71;124;102;24;49;0;9
SK0229506036;Horne Srnie;290;375;734;673;140;421;8;66
SK0229506044;Hrabovka;47;62;115;113;20;58;1;11
SK0229506087;Chocholna-Velcice;166;257;419;468;71;268;0;46
SK0229506095;Ivanovce;147;152;227;307;42;137;2;18
SK0229506133;Kostolna-Zariecie;84;76;164;175;39;139;2;12
SK0229506168;Krivosud-Bodovka;36;51;94;89;22;64;0;2
SK0229506231;Mnichova Lehota;120;168;340;312;72;191;3;15
SK0229506273;Motesice;72;121;226;215;42;101;1;4
SK0229506281;Nemsova;741;840;1523;1631;324;1086;11;179
SK0229506290;Neporadza (Okres Trencin);83;99;244;221;39;86;2;9
SK0229506354;Omsenie;194;255;601;486;116;175;4;54
SK0229506371;Opatovce;44;67;133;88;24;67;1;1
SK0229506478;Selec;106;154;305;254;45;134;6;3
SK0229506508;Soblahov;254;377;544;571;115;516;0;31
SK0229506532;Svinna;172;200;397;416;87;250;4;65
SK0229506541;Stvrtok;59;45;100;110;24;83;0;3
SK0229506559;Trencianska Tepla;467;543;913;1143;271;770;6;109
SK0229506567;Trencianska Turna;426;504;723;940;170;751;6;43
SK0229506591;Trencianske Jastrabie;138;159;323;351;66;186;2;27
SK0229506605;Trencianske Mitice;77;124;242;200;39;99;1;5
SK0229506613;Trencianske Teplice;331;375;666;1184;277;931;5;211
SK0229506648;Velka Hradna;97;113;154;211;29;154;0;13
SK0229506656;Velke Bierovce;96;107;186;142;37;127;2;11
SK0229545686;Melcice-Lieskove;217;214;373;447;86;286;1;27
SK0229545741;Trencianske Stankovce;431;416;766;922;193;586;8;81
SK0229546682;Skalka nad Vahom;132;166;289;297;72;186;3;21
SK0229556475;Zamarovce;170;153;181;297;58;272;2;30
SK0229581348;Petrova Lehota;24;31;67;42;11;19;0;5
SK0231501026;Komarno;2823;4756;5929;8562;1910;6113;52;2822
SK0231501034;Bajc;136;355;278;232;51;90;9;72
SK0231501042;Bodza;40;96;105;68;17;37;1;17
SK0231501069;Brestovec (Okres Komarno);49;111;140;119;18;39;2;7
SK0231501077;Buc;105;245;349;257;53;116;1;22
SK0231501085;Calovec;85;316;346;214;43;50;3;57
SK0231501093;Cicov;87;293;351;249;56;116;2;77
SK0231501107;Dedina Mladeze;52;103;113;96;16;39;1;18
SK0231501115;Svaty Peter;245;679;747;546;119;282;10;107
SK0231501123;Dulovce;167;516;368;311;77;165;4;40
SK0231501140;Hurbanovo;800;1599;1550;1776;413;947;54;328
SK0231501158;Chotin;119;233;356;384;66;163;1;53
SK0231501166;Imel;170;416;556;484;99;215;9;33
SK0231501174;Iza;155;366;450;411;79;213;4;103
SK0231501182;Kamenicna;197;452;483;462;63;173;11;93
SK0231501191;Klizska Nema;29;159;114;79;18;30;1;19
SK0231501204;Kolarovo;968;2376;2753;2471;478;978;30;518
SK0231501212;Kravany nad Dunajom;50;166;180;179;37;80;3;23
SK0231501221;Lipove;13;29;44;32;11;11;0;2
SK0231501239;Marcelova;423;1030;896;766;128;274;15;270
SK0231501247;Martovce;56;151;221;135;39;70;1;21
SK0231501255;Moca;89;243;311;253;58;135;0;43
SK0231501263;Modrany;121;427;339;235;52;87;5;49
SK0231501271;Mudronovo;10;36;33;20;11;12;0;2
SK0231501280;Nesvady;566;1409;1242;1060;239;446;16;36
SK0231501301;Okolicna na Ostrove;109;391;438;317;40;112;4;29
SK0231501310;Patince;41;115;129;141;28;57;0;16
SK0231501328;Pribeta;191;756;755;611;118;219;7;88
SK0231501336;Radvan nad Dunajom;59;149;182;161;37;115;0;8
SK0231501344;Sokolce;113;325;332;235;48;89;2;59
SK0231501352;Srobarova;48;83;126;125;34;78;1;10
SK0231501361;Ton;48;185;219;173;31;54;1;26
SK0231501379;Travnik;45;211;208;120;18;47;5;29
SK0231501387;Velke Kosihy;82;264;287;164;29;66;3;50
SK0231501395;Batorove Kosihy;323;888;886;674;149;300;10;93
SK0231501409;Vrbova nad Vahom;42;167;148;110;16;36;0;24
SK0231501417;Zemianska Olca;182;623;670;443;96;168;9;126
SK0231501425;Zlatna na Ostrove;216;646;636;455;90;163;13;209
SK0231555819;Bodzianske Luky;7;65;57;26;9;18;0;9
SK0231555827;Virt;28;48;78;90;17;47;0;1
SK0231580911;Holiare;51;138;139;88;20;20;3;15
SK0232502031;Levice;2813;4303;5658;9029;1632;6933;57;1549
SK0232502049;Bajka;55;135;73;21;4;10;0;30
SK0232502057;Batovce;140;241;294;273;45;138;10;43
SK0232502065;Besa (Okres Levice);61;172;163;137;23;49;9;21
SK0232502073;Bielovce;21;68;73;43;8;7;0;5
SK0232502090;Bory;35;70;127;61;8;12;2;6
SK0232502103;Brhlovce;20;49;88;81;13;38;0;7
SK0232502111;Cajkov;87;124;203;305;26;197;1;14
SK0232502120;Caka;71;222;185;140;35;68;2;20
SK0232502154;Demandice;127;193;220;233;51;98;1;43
SK0232502162;Devicany;39;47;95;142;15;48;1;21
SK0232502171;Dolna Sec;66;117;96;108;34;80;4;20
SK0232502189;Dolne Semerovce;68;264;87;61;12;19;1;28
SK0232502197;Dolny Pial;105;175;222;221;51;101;11;25
SK0232502201;Domadice;20;40;57;70;6;35;0;14
SK0232502219;Drzenice;25;78;103;92;8;45;4;27
SK0232502227;Farna;96;381;340;276;61;108;11;76
SK0232502243;Hokovce;51;129;114;103;20;55;4;29
SK0232502251;Hontianska Vrbica;72;150;148;147;25;46;2;21
SK0232502260;Horna Sec;52;89;126;177;26;93;0;7
SK0232502278;Horne Semerovce;87;143;170;119;34;45;3;40
SK0232502286;Horne Turovce;49;135;152;143;27;42;3;16
SK0232502294;Horny Pial;21;72;79;55;11;15;4;11
SK0232502324;Hronovce;162;403;351;306;63;116;2;83
SK0232502332;Hronske Klacany;134;184;299;414;66;262;3;39
SK0232502341;Hronske Kosihy;70;131;165;238;23;88;7;20
SK0232502359;Ina;30;30;62;66;8;25;0;8
SK0232502367;Ipelske Ulany;28;65;90;57;12;17;2;3
SK0232502375;Ipelsky Sokolec;79;216;212;160;48;62;7;45
SK0232502383;Jablonovce;20;40;67;40;9;24;0;9
SK0232502391;Jur nad Hronom;111;186;219;249;47;121;2;48
SK0232502413;Kalna nad Hronom;218;328;428;499;91;324;8;177
SK0232502421;Kozarovce;270;368;349;562;100;343;16;74
SK0232502430;Krskany;76;113;186;185;28;127;1;75
SK0232502448;Kubanovo;22;59;65;68;10;28;0;4
SK0232502456;Kukucinov;59;191;156;77;28;18;2;56
SK0232502464;Kuralany;28;95;119;130;19;70;2;12
SK0232502472;Ket;41;121;144;156;30;63;2;20
SK0232502481;Lok;133;291;269;193;31;59;8;89
SK0232502499;Lontov;81;267;144;71;20;22;14;43
SK0232502502;Lula;13;43;63;36;8;11;0;1
SK0232502511;Malas;39;127;137;101;14;34;1;27
SK0232502537;Male Ludince;19;43;41;35;8;16;1;7
SK0232502570;Mytne Ludany;103;297;233;175;47;74;3;48
SK0232502588;Nova Dedina;133;202;349;433;63;260;2;14
SK0232502596;Novy Tekov;100;187;228;214;29;100;3;36
SK0232502600;Nyrovce;40;141;158;97;24;36;1;23
SK0232502618;Ondrejovce;45;122;123;82;16;30;2;20
SK0232502626;Pastovce;47;155;124;101;22;23;1;22
SK0232502634;Pecenice;10;10;31;46;4;24;0;2
SK0232502642;Plastovce;130;340;413;409;70;122;7;13
SK0232502651;Plave Vozokany;110;240;156;115;15;41;5;92
SK0232502669;Podluzany (Okres Levice);68;116;183;219;29;138;1;10
SK0232502677;Pohronsky Ruskov;103;298;333;280;56;86;3;82
SK0232502693;Pukanec;118;353;493;452;77;189;2;93
SK0232502707;Rybnik (Okres Levice);117;244;323;373;67;254;2;26
SK0232502715;Santovka;50;128;191;161;38;78;0;13
SK0232502723;Sazdice;62;125;121;90;18;33;2;14
SK0232502731;Sikenica;81;196;171;93;17;22;2;45
SK0232502740;Slatina;49;115;67;41;7;12;1;20
SK0232502758;Stary Hradok;31;38;46;36;13;34;1;8
SK0232502766;Stary Tekov;155;195;297;456;68;282;1;41
SK0232502782;Sahy;626;1349;1660;1791;451;941;25;424
SK0232502791;Salov;61;165;55;36;3;8;4;20
SK0232502804;Sarovce;200;691;291;195;45;53;9;122
SK0232502812;Tehla;55;102;135;83;19;36;3;32
SK0232502821;Tekovske Luzany;319;678;787;557;120;218;9;155
SK0232502847;Tekovsky Hradok;35;106;101;76;13;38;0;11
SK0232502863;Tlmace;291;476;736;1087;163;664;6;214
SK0232502871;Tupa;47;115;152;140;41;53;1;19
SK0232502880;Tura;23;57;85;31;6;3;2;8
SK0232502898;Uhliska;8;56;50;41;7;8;2;8
SK0232502910;Velke Ludince;121;426;364;307;57;136;7;46
SK0232502928;Velke Turovce;66;147;208;209;45;53;0;14
SK0232502936;Velky Dur;130;246;344;355;55;134;1;54
SK0232502944;Vyskovce nad Iplom;80;178;160;142;24;40;4;27
SK0232502952;Vysne nad Hronom;18;26;27;57;7;29;1;10
SK0232502961;Zalaba;5;33;45;41;5;11;0;1
SK0232502979;Zbrojniky;42;94;140;128;27;47;0;20
SK0232502987;Zeliezovce;616;1197;1473;1716;407;938;28;381
SK0232502995;Zemberovce;118;200;331;302;50;184;3;41
SK0232503002;Zemliare;7;42;39;36;8;15;1;2
SK0232545350;Hontianske Trstany;24;70;55;79;17;54;0;7
SK0232555843;Cata;125;294;281;215;45;71;3;51
SK0232556777;Jesenske (Okres Levice);7;10;3;17;2;8;0;2
SK0232580937;Bohunice (Okres Levice);20;26;39;30;3;27;0;4
SK0232581135;Male Kozmalovce;28;74;118;82;14;29;4;32
SK0232581160;Velke Kozmalovce;57;120;164;232;47;91;0;7
SK0232581895;Hrkovce;23;50;79;72;26;36;2;3
SK0233500011;Nitra;8064;9148;11437;19261;3704;22942;147;3786
SK0233500020;Aleksince;185;289;449;400;59;233;5;79
SK0233500046;Bab;156;215;330;259;59;141;2;33
SK0233500071;Branc;199;393;624;529;105;272;2;44
SK0233500101;Cakajovce;131;225;293;266;49;153;6;40
SK0233500135;Celadice;123;169;269;292;56;148;2;19
SK0233500160;Cifare;56;151;152;126;35;59;1;16
SK0233500194;Dolne Obdokovce;127;241;333;225;42;136;4;32
SK0233500232;Golianovo;261;309;420;470;91;307;1;33
SK0233500313;Hrubonovo;63;74;140;141;18;68;1;21
SK0233500356;Jarok;226;320;477;539;114;350;0;39
SK0233500372;Jelenec;224;324;494;532;131;300;6;64
SK0233500381;Jelsovce;81;179;262;219;44;167;5;31
SK0233500399;Kapince;14;36;59;52;3;15;2;3
SK0233500402;Klasov;166;320;288;258;67;201;3;123
SK0233500411;Kolinany;178;271;358;390;80;238;2;34
SK0233500453;Lehota;283;385;548;611;129;367;4;55
SK0233500470;Lucnica nad Zitavou;84;183;278;230;50;104;1;27
SK0233500488;Lukacovce;127;197;337;301;50;126;4;25
SK0233500518;Velke Chyndice;39;53;101;82;14;32;2;15
SK0233500534;Male Zaluzie;33;42;71;55;15;44;0;6
SK0233500569;Melek;59;99;144;100;20;56;1;18
SK0233500577;Mojmirovce;339;531;619;614;124;547;11;137
SK0233500631;Nova Ves nad Zitavou;151;184;315;356;63;192;1;76
SK0233500640;Nove Sady;132;172;331;365;75;184;3;34
SK0233500666;Pana;48;70;111;96;9;47;0;11
SK0233500674;Podhorany (Okres Nitra);77;186;281;300;57;172;2;10
SK0233500682;Pohranice;94;196;300;280;62;155;1;24
SK0233500691;Polny Kesov;72;91;166;175;28;99;1;22
SK0233500704;Risnovce;240;346;519;513;103;318;8;49
SK0233500712;Rumanova;84;162;244;189;37;91;0;14
SK0233500780;Surianky;49;110;159;156;29;74;2;9
SK0233500798;Tajna;32;38;80;74;13;29;0;9
SK0233500844;Velka Dolina;75;116;188;152;27;97;1;27
SK0233500887;Velke Zaluzie;513;747;1018;1084;211;624;10;143
SK0233500895;Velky Cetin;144;355;436;375;76;199;2;39
SK0233500917;Vinodol;306;531;487;408;88;186;20;35
SK0233500933;Vrable;818;1113;1895;2367;417;1591;14;378
SK0233500941;Vycapy-Opatovce;233;340;533;536;127;383;2;43
SK0233500950;Zbehy;203;353;538;566;99;370;3;90
SK0233500992;Zirany;119;229;346;328;65;231;2;40
SK0233501018;Zitavce;41;70;117;108;15;43;3;15
SK0233545589;Cabaj-Capor;507;743;956;1025;201;646;9;208
SK0233545635;Horne Lefantovce;87;112;196;244;45;152;0;25
SK0233555851;Maly Lapas;225;159;170;276;48;317;3;8
SK0233555860;Velky Lapas;273;228;384;460;90;415;4;33
SK0233555886;Cechynce;130;228;302;298;73;215;0;9
SK0233555908;Maly Cetin;53;67;113;113;26;74;0;6
SK0233555959;Hostova;38;74;115;86;18;56;0;5
SK0233555967;Telince;86;121;78;72;12;28;2;21
SK0233555991;Svatoplukovo;184;248;362;297;53;192;2;30
SK0233556696;Nitrianske Hrnciarovce;196;303;365;476;88;687;4;77
SK0233556785;Male Chyndice;43;60;126;92;21;33;2;9
SK0233558320;Ivanka pri Nitre;327;408;573;756;133;574;4;93
SK0233580899;Luzianky;345;644;602;709;136;543;10;71
SK0233581097;Ludovitova;20;40;71;49;11;39;7;2
SK0233581623;Babindol;102;124;200;151;36;108;2;39
SK0233581691;Stefanovicova;37;47;61;88;24;53;0;11
SK0233582387;Cab;79;115;208;207;43;114;0;9
SK0233582425;Dolne Lefantovce;100;101;181;163;38;98;0;21
SK0233582697;Badice;50;36;88;120;18;68;3;7
SK0233582719;Stitare;143;153;175;239;42;255;0;21
SK0234503011;Nove Zamky;3467;5348;6647;9996;2199;7902;75;2157
SK0234503029;Andovce;173;356;321;353;97;255;4;64
SK0234503037;Bajtava;36;117;96;74;18;16;1;34
SK0234503045;Banov;353;589;792;1015;188;599;4;157
SK0234503053;Bardonovo;36;162;200;159;29;57;24;15
SK0234503061;Bela (Okres Nove Zamky);18;67;99;95;15;19;0;12
SK0234503070;Besenov;143;377;487;366;78;140;3;27
SK0234503088;Bina;132;424;395;240;58;80;5;99
SK0234503096;Branovo;36;108;146;155;32;87;1;14
SK0234503100;Bruty;49;173;135;118;22;47;0;34
SK0234503118;Cechy;28;53;70;85;20;39;0;6
SK0234503126;Cernik;131;177;242;266;54;146;2;30
SK0234503134;Dedinka;61;171;202;142;23;65;1;12
SK0234503151;Dolny Ohaj;144;219;342;453;64;215;1;67
SK0234503169;Dubnik;151;399;432;337;51;129;8;69
SK0234503177;Dvory nad Zitavou;511;1240;1125;983;221;562;17;340
SK0234503185;Gbelce;163;501;586;507;97;163;6;100
SK0234503193;Hul;110;177;292;359;69;175;2;28
SK0234503207;Chlaba;61;128;231;164;41;58;5;17
SK0234503215;Jasova;107;259;299;288;39;113;1;45
SK0234503223;Jatov;62;136;217;176;37;58;2;25
SK0234503231;Kamenica nad Hronom;104;353;315;200;52;111;43;91
SK0234503240;Kamenin;133;380;354;316;73;97;8;118
SK0234503258;Kamenny Most;109;242;286;243;45;88;2;45
SK0234503266;Kmetovo;60;140;221;211;55;117;1;22
SK0234503274;Kolta;80;273;364;318;53;120;2;47
SK0234503282;Komjatice;514;737;875;1071;203;595;9;219
SK0234503291;Komoca;76;168;211;267;56;122;1;54
SK0234503312;Lela;22;101;98;53;10;19;2;3
SK0234503321;Lipova (Okres Nove Zamky);142;231;408;379;80;208;38;38
SK0234503339;Luba;29;112;118;81;19;26;0;19
SK0234503347;Mala nad Hronom;34;107;143;67;15;22;0;10
SK0234503355;Male Kosihy;36;109;126;47;23;9;1;28
SK0234503363;Mana;189;378;498;500;106;243;48;42
SK0234503371;Michal nad Zitavou;51;116;207;202;24;66;1;5
SK0234503380;Velky Kyr;288;595;737;735;176;390;7;52
SK0234503398;Mojzesovo;138;263;338;345;72;137;2;51
SK0234503401;Muzla;167;468;493;410;101;185;0;88
SK0234503436;Nova Vieska;49;153;169;181;24;66;3;11
SK0234503452;Palarikovo;486;821;877;1116;188;563;9;212
SK0234503479;Podhajska;74;182;226;296;61;210;0;28
SK0234503487;Pozba;35;108;109;125;24;50;0;5
SK0234503495;Radava;59;137;209;206;32;95;1;18
SK0234503509;Rastislavice;101;176;281;231;49;97;1;15
SK0234503517;Ruban;101;252;261;179;32;64;6;31
SK0234503525;Salka;73;191;283;228;51;91;3;54
SK0234503533;Semerovo;150;372;385;239;45;102;2;37
SK0234503541;Sikenicka;36;116;122;90;24;25;2;21
SK0234503550;Strekov;176;464;498;443;102;183;7;53
SK0234503568;Svodin;198;648;548;532;133;211;9;133
SK0234503576;Sarkan;37;130;115;55;11;13;0;10
SK0234503584;Sturovo;709;1353;1844;2893;687;1715;14;562
SK0234503592;Surany;851;1429;1959;2715;434;1650;19;505
SK0234503606;Travnica;102;198;302;253;45;103;1;28
SK0234503614;Tvrdosovce;507;1191;1255;1216;244;549;28;193
SK0234503631;Velke Lovce;183;388;416;396;67;204;2;147
SK0234503649;Zemne;208;684;505;413;67;180;8;71
SK0234556025;Vlkas;24;67;82;96;12;31;0;4
SK0234556033;Pavlova;7;69;59;44;13;15;0;6
SK0234556050;Ulany nad Zitavou;161;194;378;480;79;196;5;40
SK0234556092;Nana;107;205;233;362;78;151;3;59
SK0234582361;Obid;97;288;278;254;43;98;4;79
SK0235500241;Hajske;141;306;296;276;62;174;5;86
SK0235500739;Mocenok;464;737;1050;1091;209;606;8;191
SK0235503711;Diakovce;228;478;609;579;112;280;4;91
SK0235503720;Dlha nad Vahom;91;130;237;218;57;167;3;10
SK0235503886;Kralova nad Vahom;186;284;411;431;113;342;4;57
SK0235503932;Neded;336;986;864;556;161;219;5;88
SK0235503991;Selice;329;1157;609;343;97;107;13;217
